0x8b33de313a9781c92c07819f6f38331b4069c162c1d5ff03fb3c47e7c2b23413,1 hr 6 mins ago,                  XYO ,     33274.4662162,                  ETH ,         1.4000000,         0.0000421
0x433c844a6d11147ab871de873ac1ccde5ce7406a88b6829901d7da7c5d9be282,1 hr 6 mins ago,                  XYO ,     47151.7187905,                  ETH ,         1.9865019,         0.0000421
0x4b7fb5e4a994cecb9637eaebb2b31c71ef6e4495cabf68f4b21ddf37c5177663,1 hr 6 mins ago,                  XYO ,     36522.3215041,                  ETH ,         1.5540248,         0.0000426
0x9f75ad21a0508952abfa951069231470d241713a42ee641e4480c228fecb8bdd,1 hr 6 mins ago,                  XYO ,      5000.0000000,                  ETH ,         0.2145000,         0.0000429
0x1ef140cb395618ac2e2a66b59ea594222ad0a506ce5e8db6a71167345fb06769,1 hr 6 mins ago,                  ETH ,         0.5000000,                 NPXS ,     85324.2320819,         0.0000059
0x8eaefbb517ae579f9f9106f36199fce0e52797b90c9b93ccc6e1afa5cc1f44ab,1 hr 7 mins ago,                 AURA ,      1501.3200000,                  ETH ,         0.2829988,         0.0001885
0x5b4d9846c8993b9ddbe53d547f05371c6ac16894efa616254580dd21b028f357,1 hr 7 mins ago,                 AURA ,      1500.0000000,                  ETH ,         0.2827800,         0.0001885
0x113025437b4041c456322aaa27260530d42e35878ff18b46562291b01a5e22d5,1 hr 9 mins ago,                  ETH ,         1.4773853,                  DEC ,       514.4480370,         0.0028718
0xf8ce5dd604ddf8eb4e040e91e7a43d996179ff80446b2f88e8e6544620cbc176,1 hr 9 mins ago,                  ETH ,         1.4376651,                  RLX ,    288702.2150443,         0.0000050
0x13a9d26dca0b4cf6e11bc38dd53a40f6402d34ad62079a35c00af4c8037fc12a,1 hr 11 mins ago,                 AURA ,      1500.0000000,                  ETH ,         0.2836500,         0.0001891
0x8fd6a896421c460eb9f88026078241541eb5123c61ec8a8c07fecd67656080af,1 hr 11 mins ago,                 AURA ,      1500.0000000,                  ETH ,         0.2836650,         0.0001891
